@relation TRforLOgiRegre

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric

@attribute ClassTF {yes, no}

@data
1,0,1,0,1,1,0,1,1,0,0,0,0,no
1,0,1,0,1,1,0,1,1,1,0,0,1,no
1,0,1,0,1,1,0,0,1,1,1,0,0,no
1,1,1,0,1,1,0,0,1,0,1,0,0,no
1,0,1,0,1,1,0,0,1,1,1,0,0,no
1,1,1,1,1,1,0,0,1,1,1,0,0,no
1,1,1,0,1,1,0,0,1,0,1,0,0,no
0,0,0,1,1,0,0,0,1,1,1,0,0,yes
0,1,0,1,1,0,1,0,0,0,0,0,0,yes
0,1,0,0,1,0,0,0,1,0,1,0,0,no
0,0,1,0,0,0,0,0,1,0,0,0,0,no
1,0,1,0,1,1,1,0,1,0,0,0,0,no
1,0,1,1,1,1,0,0,1,1,1,0,0,no
1,0,0,0,1,1,0,0,1,0,1,0,0,no
1,1,0,0,1,1,0,0,1,1,0,0,0,no
1,0,0,0,1,1,0,0,1,1,1,0,0,no
1,0,1,0,1,1,1,0,1,1,1,0,0,no
1,0,1,1,1,1,0,0,1,1,1,0,0,no
1,1,1,1,1,1,0,0,1,1,1,0,0,no
1,0,1,0,1,1,1,0,1,1,1,0,0,no
1,0,1,1,1,1,0,0,1,1,1,0,0,no
0,1,1,0,1,0,0,0,1,1,0,0,0,no
0,0,1,1,1,0,0,0,1,1,1,0,0,no
0,1,0,1,1,0,1,0,1,0,1,0,0,no
0,1,0,0,1,0,0,0,0,1,1,0,0,yes
0,1,0,1,1,0,0,0,0,1,1,0,0,yes
0,1,0,0,1,0,0,0,0,0,1,0,0,yes
1,0,0,0,1,1,0,0,1,1,1,0,0,yes
0,1,0,1,1,0,0,0,0,0,1,0,0,no
1,1,1,0,1,1,0,0,1,0,1,0,0,yes
1,1,1,0,1,1,0,0,1,0,1,0,0,yes
1,0,1,0,1,1,0,0,1,1,1,0,0,yes
1,0,1,0,1,1,0,0,1,1,1,0,0,yes
0,1,1,1,1,0,1,0,1,1,1,0,0,no
0,1,1,0,1,0,0,0,1,0,1,0,0,no
0,0,1,0,1,0,0,0,1,0,0,0,0,no
1,1,1,1,1,1,0,0,1,0,1,0,0,no
1,0,1,0,1,1,0,0,1,0,1,0,0,no
1,0,0,0,1,1,0,0,1,0,1,0,0,no
1,0,0,0,1,1,0,0,1,0,0,0,0,no
1,0,1,0,1,1,0,0,1,1,1,1,0,no
1,0,1,0,1,1,0,0,1,0,1,1,0,no
1,0,1,1,1,1,0,0,1,1,1,1,0,no
1,1,1,0,1,1,0,0,1,0,1,1,0,no
0,0,1,1,1,0,0,0,1,0,1,0,0,no
1,0,1,1,1,1,0,0,1,1,0,0,0,no
1,1,1,1,1,1,0,0,1,1,1,0,0,no
0,1,0,0,1,0,1,0,0,0,1,0,0,no
0,1,0,0,1,1,0,1,1,0,1,0,1,no
0,1,0,1,1,1,0,1,1,0,1,0,1,no
0,1,1,1,1,0,0,0,0,0,1,0,0,no
0,0,0,0,1,0,1,0,0,1,1,0,0,no
0,0,0,1,1,0,0,0,0,1,1,0,0,no
0,0,0,0,1,0,0,0,0,1,1,0,0,no
1,1,0,0,1,1,1,0,1,1,1,0,0,no
1,0,0,0,1,1,0,0,1,1,0,0,0,no
0,0,1,0,0,0,0,0,1,0,0,0,0,no
0,1,0,1,1,0,1,0,0,1,1,0,0,yes
0,0,0,0,1,0,0,0,0,1,0,0,0,yes
0,0,0,0,1,0,1,0,1,1,1,0,0,yes
0,1,0,0,1,0,0,0,1,1,1,0,0,yes
0,1,0,0,1,0,0,0,1,1,1,0,0,yes
0,1,0,1,1,1,0,0,0,0,0,0,0,no
0,0,0,0,1,1,0,0,0,0,0,0,0,no
0,0,0,0,1,1,0,0,0,0,1,0,0,no
0,0,0,0,1,1,0,0,0,0,0,0,0,no
1,0,0,0,1,1,0,0,1,1,1,0,0,no
1,0,0,0,1,1,0,0,1,1,0,0,0,no
0,1,1,0,1,0,0,0,1,0,1,0,0,no
0,0,1,0,1,0,0,0,1,0,0,0,0,no
0,1,0,1,1,1,1,0,1,1,0,0,0,no
0,1,0,1,1,1,0,0,1,1,1,0,0,no
1,1,0,1,1,1,0,0,1,1,1,0,0,no
0,1,0,1,1,0,1,0,1,1,0,0,0,yes
0,1,0,0,1,0,0,0,1,1,0,0,0,yes
0,1,0,1,1,0,1,0,0,1,1,0,0,yes
0,0,0,0,0,1,0,0,1,0,0,0,0,no
0,0,0,0,0,1,0,0,1,0,0,0,0,no
0,0,0,0,1,0,0,0,0,0,0,0,0,no
0,1,0,0,1,0,0,0,1,0,1,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
1,0,1,1,1,1,0,0,1,1,1,0,0,no
0,0,0,0,0,0,0,0,1,0,0,0,0,no
0,0,0,1,1,0,1,0,0,1,1,0,0,no
0,1,0,0,1,0,0,0,0,1,1,0,0,yes
0,0,0,0,0,0,0,0,1,0,0,0,0,no
0,1,0,0,1,0,0,0,0,0,0,0,0,yes
0,0,0,1,1,0,0,0,0,0,0,0,0,yes
0,0,0,0,1,1,0,0,1,0,1,0,0,yes
0,1,0,0,1,0,1,0,1,0,1,0,0,yes
0,1,0,0,1,0,0,0,1,0,0,0,0,yes
0,0,0,0,1,0,0,0,1,0,0,0,0,yes
0,0,0,0,1,0,0,0,0,1,1,0,0,yes
0,0,0,0,1,0,0,0,0,1,1,0,0,yes
0,0,0,0,1,0,0,0,0,0,0,0,0,yes
0,1,0,0,1,0,1,0,0,0,1,0,0,yes
0,1,0,0,1,0,0,0,0,0,1,0,0,yes
0,0,0,0,0,0,0,0,1,0,0,0,0,yes
0,0,1,0,0,1,0,0,1,0,0,0,0,yes
0,1,0,0,1,0,1,0,1,0,1,0,0,yes
0,1,0,0,1,1,0,0,1,1,1,0,0,yes
0,0,0,0,1,1,0,0,1,0,1,0,0,yes
0,1,0,0,1,0,1,0,1,1,1,0,0,yes
0,1,1,1,1,0,0,0,1,0,1,0,0,yes
0,1,0,1,1,0,1,0,1,1,1,0,0,yes
0,1,0,1,1,0,0,0,1,1,1,0,0,yes
0,1,0,1,1,0,0,0,1,0,1,0,0,yes
0,1,0,1,1,0,0,0,1,0,1,0,0,yes
0,1,0,1,1,0,0,1,1,0,1,0,0,yes
0,0,0,1,1,0,0,0,1,0,1,0,0,yes
0,1,1,0,1,0,1,0,0,0,0,0,0,yes
0,0,0,0,1,0,1,0,1,0,1,0,0,yes
0,0,0,0,1,0,0,0,1,0,1,0,0,yes
0,0,0,1,1,0,0,0,1,0,1,0,0,yes
0,0,1,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,1,0,0,0,0,yes
0,1,0,1,1,0,1,0,0,0,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,1,0,1,1,0,1,0,0,1,0,0,0,yes
0,0,0,0,1,1,0,0,1,0,0,0,0,yes
0,1,0,1,1,1,0,0,1,0,0,0,0,yes
0,1,0,1,1,1,1,0,0,0,1,0,0,no
0,1,0,1,1,1,1,0,0,0,0,0,0,yes
0,0,1,0,1,1,0,0,0,0,0,0,0,no
0,1,0,1,1,1,0,0,0,0,0,0,0,yes
0,0,0,0,0,1,0,0,0,0,0,0,0,no
0,1,0,1,1,0,0,0,0,0,1,0,0,yes
0,1,0,1,1,0,0,0,0,0,1,0,0,yes
0,1,1,1,1,0,0,0,1,1,1,0,0,no
0,0,1,0,1,0,0,0,1,0,1,0,0,no
0,1,0,1,1,0,1,0,1,0,1,0,0,yes
0,1,0,1,1,0,1,0,0,0,0,0,0,yes
0,1,0,1,1,0,0,0,0,0,1,0,0,yes
0,1,1,1,1,0,0,0,0,0,1,0,0,yes
0,1,0,1,1,0,1,0,1,0,0,0,0,yes
0,1,0,1,1,0,1,0,0,0,1,0,0,no
0,0,1,0,0,1,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,1,0,0,1,0,0,0,0,0,0,0,no
0,1,1,0,1,1,0,0,0,0,1,0,0,no
0,1,0,1,1,0,1,0,0,1,1,0,0,yes
0,1,1,1,1,0,0,0,1,0,0,0,0,yes
0,1,0,1,1,0,1,0,0,0,1,0,0,yes
0,1,1,0,1,0,1,0,0,0,1,0,0,no
0,1,0,1,1,0,1,0,0,1,1,0,0,yes
0,0,0,0,1,1,0,0,0,0,0,0,0,yes
0,0,0,0,1,1,0,0,0,0,0,0,0,yes
0,1,0,0,1,1,0,0,0,0,0,0,0,yes
0,1,0,1,1,1,0,0,0,0,0,0,0,yes
0,0,0,0,1,1,0,0,0,0,1,0,0,yes
0,1,1,0,1,0,0,0,0,0,0,0,0,yes
0,0,1,1,1,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,no
1,0,0,0,0,1,0,0,0,0,0,0,0,no
0,0,0,0,1,0,1,0,1,0,1,0,0,yes
0,1,0,1,1,0,0,0,1,1,1,0,0,yes
0,1,0,1,1,1,0,0,1,0,0,0,0,yes
0,0,1,0,1,1,0,0,1,0,0,0,0,no
0,0,1,0,1,1,0,0,1,0,1,0,0,no
0,1,0,1,1,1,1,0,0,0,0,0,0,yes
0,1,0,1,1,1,0,0,0,1,1,0,0,yes
0,0,0,0,1,1,0,0,0,0,1,0,0,yes
0,1,0,0,1,1,0,0,0,0,1,0,0,yes
0,1,0,1,1,1,0,0,0,1,1,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,1,0,1,1,0,0,1,0,1,0,0,no
0,0,1,0,1,1,0,0,1,1,1,0,0,no
0,0,1,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,1,0,1,1,0,1,0,0,0,1,0,0,yes
0,1,0,1,1,0,1,0,0,1,1,0,0,yes
0,0,0,0,0,1,0,0,0,0,0,0,0,yes
0,1,0,1,1,0,0,0,0,1,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,1,0,0,1,0,0,0,0,0,0,0,no
0,1,1,0,1,1,0,0,0,1,1,0,0,no
0,0,1,0,1,1,0,0,0,0,0,0,0,no
0,1,0,0,1,0,0,0,0,1,1,0,0,yes
0,1,0,1,1,0,0,0,0,0,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,1,0,1,1,0,0,0,1,1,1,0,0,yes
0,1,0,0,1,1,0,0,1,0,0,0,0,no
0,1,0,1,1,0,1,0,0,0,1,0,0,yes
0,0,1,0,0,0,0,0,0,0,0,0,0,no
0,1,0,0,1,0,0,0,0,0,1,0,0,no
0,0,0,0,1,1,1,0,0,1,1,0,0,yes
0,0,0,1,1,1,0,0,0,0,1,0,0,yes
0,0,0,1,1,1,0,0,0,1,0,0,0,yes
0,1,1,0,1,0,1,0,0,1,1,0,0,yes
0,0,1,1,1,0,0,0,0,0,1,0,0,yes
0,1,1,0,1,1,0,0,0,0,0,0,0,no
0,1,0,1,1,1,0,0,1,1,1,0,0,yes
0,0,0,0,1,1,0,0,1,0,0,0,0,yes
0,0,0,0,1,1,0,0,1,1,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,1,0,1,1,0,0,0,0,1,0,0,0,yes
0,1,0,1,1,0,0,0,0,0,1,0,0,no
0,1,0,1,1,0,1,0,0,1,1,0,0,no
0,1,0,0,1,1,0,0,1,1,0,0,0,yes
0,0,0,0,1,1,0,0,1,1,0,0,0,yes
0,1,0,1,1,1,0,0,1,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,1,0,1,1,0,0,0,1,0,0,0,0,yes
1,0,1,0,0,1,0,0,0,0,0,1,0,no
0,1,0,0,1,0,1,0,0,0,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,1,0,0,1,1,1,0,0,0,0,0,0,yes
0,1,1,1,1,0,0,0,0,0,1,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,1,0,1,1,0,1,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,1,0,1,1,0,0,0,0,0,0,0,0,yes
0,0,1,1,1,0,0,1,1,0,1,0,0,no
0,0,1,0,1,0,0,1,1,0,0,0,0,no
0,1,0,1,1,0,1,0,0,1,1,0,0,yes
0,1,0,0,1,0,0,0,1,0,1,0,0,no
0,1,0,0,1,0,0,0,1,1,1,0,0,no
0,1,0,0,1,0,0,0,1,1,1,0,0,yes
0,0,0,0,1,0,0,0,1,0,0,0,0,yes
0,1,0,1,1,0,1,0,0,0,0,0,0,yes
0,0,0,1,1,0,0,0,0,0,1,0,0,yes
0,0,1,0,0,0,0,0,0,0,0,0,0,no
0,1,0,1,1,0,1,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,1,0,1,1,1,1,0,0,0,1,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,1,0,0,0,0,0,0,0,no
0,0,0,1,1,0,1,0,0,0,1,0,0,no
0,1,0,0,1,0,0,0,0,0,1,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,1,1,0,0,0,0,1,1,0,0,yes
0,0,0,1,1,0,1,0,1,0,0,0,0,no
0,1,1,1,1,0,0,0,0,0,1,0,0,yes
0,1,0,1,1,0,1,0,0,1,0,0,0,yes
0,1,0,1,1,0,1,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,1,0,0,1,0,0,0,0,0,1,0,0,no
0,1,0,1,1,0,0,0,0,0,1,0,0,no
0,1,0,0,1,0,0,0,0,0,1,0,0,no
0,1,0,0,1,0,0,0,1,0,0,0,0,yes
1,1,0,1,1,1,0,0,1,1,0,0,0,yes
0,1,0,1,1,1,0,0,0,1,1,0,0,no
0,0,0,0,1,1,0,0,0,1,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,1,1,1,1,0,0,0,1,1,1,0,0,yes
0,1,1,1,1,0,0,0,1,0,0,0,0,yes
0,1,0,1,1,0,1,0,0,0,0,0,0,no
0,1,0,1,1,0,0,0,0,0,1,0,0,no
0,0,0,0,0,1,0,0,0,0,0,0,0,yes
0,1,0,1,1,0,1,0,0,1,1,0,0,yes
0,1,1,0,1,0,0,0,0,0,1,0,0,no
0,1,0,1,1,1,0,0,0,1,1,0,0,yes
0,1,0,1,1,0,1,0,0,1,0,0,0,yes
0,0,0,1,1,0,0,0,0,0,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,1,0,1,1,0,0,0,0,1,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,1,0,1,1,0,1,0,0,0,0,0,0,yes
0,1,1,1,1,0,0,0,0,0,0,0,0,yes
0,1,0,1,1,0,0,0,1,1,1,0,0,yes
0,0,1,0,0,1,0,0,1,0,0,0,0,no
0,0,1,0,1,0,1,0,0,0,0,0,0,no
0,1,1,1,1,0,0,0,0,1,1,0,0,no
0,1,0,0,1,0,1,0,0,0,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,1,1,0,1,1,0,0,0,1,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,1,1,0,0,0,0,0,0,0,0,no
0,1,0,1,1,0,1,0,0,0,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,1,1,1,0,1,0,0,0,1,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,1,0,0,0,0,no
0,1,0,1,1,0,1,0,1,1,0,0,0,no
0,1,0,0,1,0,1,0,0,1,1,0,0,no
0,0,0,0,0,0,0,0,1,0,0,0,0,no
0,0,0,0,0,0,0,0,1,0,0,0,0,yes
0,0,0,0,0,0,0,0,1,0,0,0,0,yes
0,1,0,1,1,0,1,0,1,1,0,0,0,no
0,0,0,0,0,0,0,0,1,0,0,0,0,no
0,0,0,0,0,0,0,0,1,0,0,0,0,no
0,1,0,1,1,0,1,0,0,0,1,0,0,no
0,1,0,0,1,0,0,0,0,1,1,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,1,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,1,0,0,0,0,yes
0,1,0,1,1,0,1,0,1,1,0,0,0,no
0,0,0,1,1,0,0,0,1,1,1,0,0,no
0,0,0,0,0,0,0,0,1,0,0,0,0,no
0,0,0,0,0,0,0,0,1,0,0,0,0,no
0,1,0,1,1,0,1,0,1,1,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,1,0,0,1,0,1,0,0,0,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,1,0,1,1,0,1,0,0,1,0,0,0,no
0,1,0,1,1,0,0,0,0,1,0,0,0,no
0,1,0,1,1,0,1,0,0,1,0,0,0,no
0,1,0,1,1,0,1,0,0,1,0,0,0,no
0,0,0,0,0,0,0,0,1,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,1,0,0,0,0,no
0,1,0,0,1,0,0,0,1,0,0,0,0,yes
0,1,0,0,1,0,0,0,1,0,0,0,0,yes
0,0,0,0,1,1,0,0,1,1,1,0,0,yes
0,0,0,1,1,1,0,0,1,0,0,0,0,yes
0,1,0,1,1,1,0,0,1,1,0,0,0,yes
0,1,0,0,1,1,0,0,1,0,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,1,0,1,1,0,1,0,1,1,0,0,0,no
0,0,0,0,0,0,0,0,1,0,0,0,0,yes
0,1,0,1,1,0,1,0,0,0,1,0,0,no
0,1,0,1,1,0,0,0,0,0,1,0,0,no
1,0,0,0,0,1,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,1,0,1,1,0,0,0,0,0,1,0,0,yes
0,1,0,1,1,0,0,0,0,1,1,0,0,yes
0,1,0,1,1,0,0,0,0,0,1,0,0,yes
0,0,0,0,1,0,0,0,0,1,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,1,0,1,1,0,0,0,1,1,1,0,0,yes
0,1,0,1,1,0,0,0,0,1,1,0,0,yes
0,1,0,0,1,0,1,0,0,0,1,0,0,no
0,0,0,1,1,0,0,0,0,0,0,0,0,no
0,1,0,1,1,0,0,0,0,0,1,0,0,no
0,1,0,0,1,0,0,0,0,1,1,0,0,yes
0,1,0,1,1,0,1,0,0,1,1,0,0,yes
0,1,0,1,1,0,0,0,0,1,1,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,1,0,0,1,0,0,0,0,no
0,0,1,0,0,1,0,0,0,0,0,0,0,yes
0,1,0,1,1,0,1,0,0,0,1,0,0,yes
0,1,0,1,1,1,0,0,0,1,1,0,0,yes
0,1,0,1,1,1,1,0,0,1,1,0,0,yes
0,1,0,1,1,0,1,0,0,1,1,0,0,yes
0,1,0,1,1,0,1,0,0,1,1,0,0,yes
0,1,1,0,1,0,0,0,0,1,1,0,0,no
0,1,0,1,1,0,1,0,0,1,0,0,0,yes
0,1,1,1,1,1,1,0,0,1,1,0,0,yes
0,1,1,0,1,1,0,0,0,1,1,0,0,yes
0,0,1,0,1,1,0,0,0,0,0,0,0,yes
0,1,0,1,1,0,1,0,0,1,1,0,0,yes
0,1,0,1,1,0,0,0,0,1,1,0,0,yes
0,1,0,1,1,0,0,0,0,1,0,0,0,yes
0,0,0,0,1,0,0,0,0,1,1,0,0,yes
0,1,0,0,1,1,0,0,0,0,0,0,0,yes
0,0,0,0,0,1,0,0,1,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,1,0,0,1,1,1,0,0,1,1,0,0,yes
0,1,0,1,1,1,1,0,0,1,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,1,0,1,1,0,1,0,0,0,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,1,0,0,1,0,1,0,0,1,1,0,0,yes
0,1,0,0,1,0,0,0,1,1,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,1,0,0,1,0,1,0,0,0,1,0,0,no
0,1,0,1,1,0,1,0,0,0,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,1,0,1,1,0,0,0,1,1,1,0,0,yes
0,1,0,0,1,0,0,0,1,1,1,0,0,yes
0,1,0,1,1,0,1,0,0,1,1,0,0,yes
0,1,1,0,1,0,0,0,0,1,1,0,0,yes
0,1,0,0,1,1,0,0,1,1,1,0,0,no
0,1,0,1,1,0,1,0,0,1,1,0,0,yes
0,0,1,0,0,1,0,0,0,0,0,0,0,yes
0,1,0,1,1,0,0,0,0,1,1,0,0,yes
0,1,0,1,1,0,0,0,0,1,1,0,0,no
0,1,0,1,1,1,1,0,0,0,1,0,0,no
0,0,0,1,1,0,0,0,0,1,1,0,0,no
0,1,0,1,1,0,1,0,0,1,1,0,0,yes
1,0,0,1,1,1,1,0,0,1,1,0,0,yes
1,1,0,1,1,1,0,0,0,1,1,0,0,yes
1,0,0,1,1,1,0,0,0,1,1,0,0,yes
0,1,1,1,1,0,1,0,1,1,1,0,0,yes
0,1,0,1,1,0,0,0,0,1,0,0,0,yes
0,1,1,1,1,0,1,0,1,0,1,0,0,yes
0,1,1,1,1,0,0,0,1,0,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,1,0,0,1,0,1,0,0,1,1,0,0,yes
0,1,0,0,1,0,0,0,0,1,0,0,0,yes
0,1,0,1,1,0,1,0,0,1,0,0,0,yes
0,1,0,1,1,1,0,0,1,1,1,0,0,yes
0,1,0,1,1,0,1,0,0,0,1,0,0,no
0,1,0,1,1,0,1,0,0,1,1,0,0,yes
0,1,0,1,1,0,1,0,0,1,1,0,0,yes
0,0,0,0,0,0,0,0,1,0,0,0,0,yes
0,0,0,1,1,0,0,0,0,1,1,0,0,yes
0,1,0,1,1,0,0,0,0,0,1,0,0,yes
0,1,0,1,1,0,1,0,0,1,1,0,0,yes
0,0,0,0,1,0,1,0,0,1,1,0,0,no
0,0,0,1,1,0,1,0,0,1,1,0,0,no
0,1,0,1,1,0,0,0,0,1,1,0,0,yes
0,1,0,1,1,0,0,0,0,1,1,0,0,yes
0,0,1,1,1,0,0,0,0,0,1,0,0,yes
0,1,1,1,1,0,0,0,0,1,1,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,1,0,0,1,0,0,0,0,yes
0,1,0,1,1,0,0,0,0,1,1,0,0,yes
0,1,0,1,1,0,0,0,0,0,1,0,0,yes
0,1,0,1,1,0,0,0,1,1,1,0,0,yes
0,0,0,0,1,1,1,0,0,1,1,0,0,no
0,1,0,1,1,1,0,0,0,1,0,0,0,no
0,1,0,1,1,0,1,0,0,0,1,0,0,yes
0,1,0,1,1,0,0,0,0,0,1,0,0,yes
0,1,0,1,1,0,1,0,0,1,1,0,0,yes
0,1,0,1,1,0,0,0,1,1,1,0,0,yes
0,1,0,1,1,0,0,0,0,1,1,0,0,no
0,0,0,1,1,0,1,0,0,0,0,0,0,yes
0,0,0,0,1,0,0,0,0,0,1,0,0,yes
0,1,0,0,1,0,0,0,0,1,1,0,0,yes
0,1,0,1,1,1,1,0,1,1,1,0,0,yes
0,1,0,0,1,0,1,0,0,0,1,0,0,no

